Identificador,Tipo_de_subasta,Cuenta_expediente,Fecha_de_inicio,Fecha_de_conclusión,Cantidad_reclamda,Lotes,Anuncio_BOE,Valor_subasta,Tasación,Puja_mínima,Tramos_entre_pujas,Importe_del_depósito,id,Juzgado,Localidad
SUB-JV-2022-172568,JUDICIAL VOLUNTARIA,1774 0000 00 0718 19,15-11-2022,05-12-2022,"120.000,00 ",Sin lotes,BOE-B-2022-35073,"120.000,00 ","0,00 ",Sin puja mínima,"2.400,00 ","6.000,00 ",92,JUZGADO 1ª INST E INSTRUCC. 1 , motril
SUB-JA-2021-175907,JUDICIAL EN VÍA DE APREMIO,3734 0000 05 0925 19,15-11-2022,05-12-2022,"45.054,33 ",Sin lotes,BOE-B-2022-35064,"120.410,00 ","0,00 ",Sin puja mínima,"2.408,20 ","6.020,50 ",94,JUZGADO 1ª INST E INSTRUCC. 6 , lliria
SUB-JA-2022-202847,JUDICIAL EN VÍA DE APREMIO,3659 0000 06 1024 13,15-11-2022,05-12-2022,"185.178,79 ",Sin lotes,BOE-B-2022-35082,"196.860,92 ","0,00 ",Sin puja mínima,Sin tramos,"9.843,04 ",95,JUZGADO 1ª INST E INSTRUCC. 6 , parla
SUB-JA-2022-203605,JUDICIAL EN VÍA DE APREMIO,1225 0000 05 1250 19,15-11-2022,05-12-2022,"26.466,03 ",Sin lotes,BOE-B-2022-35027,"59.866,60 ","0,00 ",Sin puja mínima,"1.000,00 ","2.993,33 ",97,JUZGADO 1ª INSTANCIA 1 , cadiz
SUB-JA-2022-203565,JUDICIAL EN VÍA DE APREMIO,4981 0000 06 0082 21,15-11-2022,05-12-2022,"176.037,16 ",Sin lotes,BOE-B-2022-35071,"252.110,28 ","0,00 ",Sin puja mínima,"5.042,20 ","12.605,51 ",100,JUZGADO 1ª INSTANCIA 4 , manacor
SUB-JA-2022-203559,JUDICIAL EN VÍA DE APREMIO,3728 3053 06 0279 20,15-11-2022,05-12-2022,"107.811,71 ",Sin lotes,BOE-B-2022-35131,"177.317,00 ","0,00 ",Sin puja mínima,"1.773,18 ","8.865,85 ",101,UNIDAD SUBASTAS JUDICIALES MURCIA , murcia
SUB-JA-2018-93539,JUDICIAL EN VÍA DE APREMIO,3952 0000 06 1205 13,15-11-2022,05-12-2022,"48.377,61 ",Sin lotes,BOE-B-2022-35095,"165.760,00 ","0,00 ",Sin puja mínima,Sin tramos,"8.288,00 ",102,JUZGADO 1ª INST E INSTRUCC. 2 , sanlucar mayor
SUB-JA-2022-188856,JUDICIAL EN VÍA DE APREMIO,2378 0000 06 0040 20,15-11-2022,05-12-2022,"200.164,22 ",Sin lotes,BOE-B-2022-35047,"318.344,45 ","0,00 ",Sin puja mínima,"6.366,88 ","15.917,22 ",103,JUZGADO 1ª INST E INSTRUCC. 3 , getafe
SUB-JA-2022-203311,JUDICIAL EN VÍA DE APREMIO,0737 0000 06 0079 20,15-11-2022,05-12-2022,"195.833,83 ",Sin lotes,BOE-B-2022-35050,"397.660,32 ","0,00 ",Sin puja mínima,"7.953,20 ","19.883,01 ",106,JUZGADO 1ª INSTANCIA 5 , granollers
SUB-JA-2022-196692,JUDICIAL EN VÍA DE APREMIO,1283 0000 05 0597 19,15-11-2022,05-12-2022,"97.778,80 ",Sin lotes,BOE-B-2022-35092,"218.685,00 ","0,00 ",Sin puja mínima,"4.373,70 ","10.934,25 ",107,JUZGADO 1ª INST E INSTRUCC. 1 , san fernando
SUB-JA-2022-185538,JUDICIAL EN VÍA DE APREMIO,3728 3881 06 0037 16,15-11-2022,05-12-2022,"63.571,52 ",Sin lotes,BOE-B-2022-35128,"112.760,00 ","0,00 ",Sin puja mínima,"2.255,21 ","5.638,00 ",109,UNIDAD SUBASTAS JUDICIALES MURCIA , murcia
SUB-JA-2022-196110,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0054 21,15-11-2022,05-12-2022,"216.234,81 ",Sin lotes,BOE-B-2022-35069,"291.450,00 ","0,00 ",Sin puja mínima,"5.829,00 ","14.572,50 ",112,JUZGADO 1ª INSTANCIA 100 , madrid
SUB-JA-2022-203353,JUDICIAL EN VÍA DE APREMIO,4919 0000 06 0688 20,15-11-2022,05-12-2022,"128.170,97 ",Sin lotes,BOE-B-2022-35121,"192.142,07 ","0,00 ",Sin puja mínima,"3.842,84 ","9.607,10 ",113,JUZGADO 1ª INSTANCIA 8 , zaragoza
