0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SUB-JA-2022-204136,JUDICIAL EN VÍA DE APREMIO,3832 0000 01 0657 15,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"230.998,53 €",Sin lotes,BOE-B-2022-35246,"256.950,00 €","256.950,00 €",Sin puja mínima,Sin tramos,"12.847,50 €",JUZGADO 1ª INST E INSTRUCC. 8 - EL VENDRELL,
SUB-JA-2022-202350,JUDICIAL EN VÍA DE APREMIO,1291 0000 05 0082 15,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"123.164,36 €",Sin lotes,BOE-B-2022-35276,"219.567,76 €","0,00 €",Sin puja mínima,"4.391,35 €","10.978,38 €",JUZGADO 1ª INST E INSTRUCC. 2 - SANLUCAR BARRAMEDA,
SUB-RC-2022-0020220000042,RECAUDACIÓN TRIBUTARIA,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"13.389,83 €",Sin lotes,BOE-B-2022-35375,"65.573,08 €","65.573,08 €","25.000,00 €","200,00 €","3.278,65 €",Zona Recadación Coruña - Axencia Tributaria de Galicia - Coruña (A),,
SUB-JA-2022-204132,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0168 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"83.205,76 €",Sin lotes,BOE-B-2022-35261,"351.319,25 €","0,00 €","200,00 €","7.026,38 €","17.565,96 €",JUZGADO 1ª INSTANCIA 31 - MADRID,
SUB-NE-2022-1145989,NOTARIAL EN VENTA EXTRAJUDICIAL,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"106.195,35 €",Sin lotes,BOE-B-2022-35399,No consta,"180.300,00 €",Sin puja mínima,Sin tramos,"9.015,00 €",Notaría de Javier Alfonso López Vicent - Murcia,,
SUB-JA-2022-201646,JUDICIAL EN VÍA DE APREMIO,0864 0000 06 0198 12,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"214.689,90 €",Sin lotes,BOE-B-2022-35273,"366.993,75 €","0,00 €",Sin puja mínima,"7.339,87 €","18.349,68 €",JUZGADO 1ª INST E INSTRUCC. 4 - RUBI,
SUB-JA-2022-204105,JUDICIAL EN VÍA DE APREMIO,3546 0000 05 0393 19,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"169.247,45 €",Sin lotes,BOE-B-2022-35254,"231.184,59 €","0,00 €",Sin puja mínima,"4.623,69 €","11.559,22 €",JUZGADO 1ª INSTANCIA 12 - LAS PALMAS DE GRAN CANARIA,
SUB-JA-2022-204103,JUDICIAL EN VÍA DE APREMIO,1525 0000 06 0128 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"588.307,17 €",3,Separada para cada lote,BOE-B-2022-35243,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),JUZGADO 1ª INSTANCIA 1 - CORUÑA (A)
SUB-JA-2022-204140,JUDICIAL EN VÍA DE APREMIO,3113 0000 06 1142 21,15-11-2022 18:00:00 CET (ISO: 2022-11-15T18:00:00+01:00),05-12-2022 18:00:00 CET (ISO: 2022-12-05T18:00:00+01:00),"215.341,68 €",3,Separada para cada lote,BOE-B-2022-35111,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),JUZGADO 1ª INSTANCIA 3 - TORREMOLINOS
SUB-JA-2022-200418,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0106 20,15-11-2022 18:00:00 CET (ISO: 2022-11-15T18:00:00+01:00),05-12-2022 18:00:00 CET (ISO: 2022-12-05T18:00:00+01:00),"160.295,16 €",Sin lotes,BOE-B-2022-35066,"211.000,00 €","0,00 €",Sin puja mínima,"4.220,00 €","10.550,00 €",JUZGADO 1ª INSTANCIA 100 - MADRID,
